Date,Meal_Count,Healthy_Meals,Junk_Meals,Calories,Protein (g),Carbs (g),Caffeine_Intake (mg)
2025-03-27,4,3,1,2048,149,200,225
2025-03-28,4,3,1,2083,134,275,156
2025-03-29,4,4,0,2125,129,268,194
2025-03-30,4,0,4,2882,133,297,225
2025-03-31,3,3,0,1915,142,203,179
2025-04-01,5,5,0,2096,122,236,196
2025-04-02,5,2,3,2716,127,210,242
2025-04-03,5,5,0,1860,121,281,236
2025-04-04,4,4,0,2061,133,245,133
2025-04-05,5,5,0,2005,126,252,206
2025-04-06,5,5,0,1806,141,296,186
2025-04-07,6,5,1,1895,123,219,141
2025-04-08,3,3,0,1928,121,223,127
2025-04-09,6,5,1,2081,160,227,239
2025-04-10,4,3,1,2036,123,299,176
2025-04-11,5,5,0,1808,123,266,203
2025-04-12,3,1,2,2661,136,232,165
2025-04-13,6,5,1,2135,151,256,204
2025-04-14,4,1,3,2598,123,208,124
2025-04-15,5,5,0,2111,155,247,112
2025-04-16,4,3,1,2146,139,289,227
2025-04-17,5,5,0,2022,143,224,194
2025-04-18,6,5,1,2115,145,275,127
2025-04-19,4,1,3,2769,149,225,243
2025-04-20,4,2,2,2528,146,213,202
2025-04-21,5,2,3,2723,122,238,247
2025-04-22,4,4,0,1932,120,202,152
2025-04-23,3,3,0,2230,131,240,110
2025-04-24,6,5,1,1816,154,240,244
2025-04-25,5,2,3,2402,129,293,232
2025-04-26,5,4,1,2202,126,211,135
2025-04-27,4,4,0,2025,149,266,204
