Date,Sleep_Hours,Sleep_Quality,Sleep_Interruptions,Bedtime,Wakeup_Time
2025-03-27,7.8,Good,0,0:00,07:48
2025-03-28,8.0,Good,0,0:00,08:00
2025-03-29,7.2,Good,0,23:45,06:57
2025-03-30,7.7,Good,0,0:15,07:57
2025-03-31,7.9,Good,0,0:45,08:39
2025-04-01,5.8,Poor,3,2:30,08:18
2025-04-02,7.5,Good,0,0:15,07:45
2025-04-03,5.6,Poor,4,2:45,08:21
2025-04-04,5.6,Poor,4,1:45,07:21
2025-04-05,5.1,Poor,4,1:45,06:51
2025-04-06,7.1,Good,1,0:15,07:21
2025-04-07,5.6,Poor,3,2:45,08:21
2025-04-08,5.7,Poor,4,1:00,06:42
2025-04-09,5.2,Poor,4,2:30,07:42
2025-04-10,5.5,Poor,2,1:15,06:45
2025-04-11,7.1,Good,0,23:45,06:51
2025-04-12,5.7,Poor,3,2:00,07:42
2025-04-13,8.0,Good,0,0:45,08:45
2025-04-14,7.1,Good,0,0:15,07:21
2025-04-15,7.9,Good,0,23:45,07:39
2025-04-16,7.4,Good,1,0:45,08:09
2025-04-17,7.9,Good,1,0:30,08:24
2025-04-18,7.6,Good,0,0:30,08:06
2025-04-19,8.0,Good,0,0:00,08:00
2025-04-20,7.7,Good,1,0:45,08:27
2025-04-21,7.9,Good,0,23:30,07:24
2025-04-22,7.9,Good,1,0:45,08:39
2025-04-23,7.5,Good,1,0:30,08:00
2025-04-24,7.9,Good,0,23:45,07:39
2025-04-25,7.0,Good,0,0:00,07:00
2025-04-26,7.5,Good,1,0:45,08:15
2025-04-27,7.5,Good,0,23:00,06:30
